2,0,0,empty,empty,False,False,empty,empty,False,False,empty,empty
2,0,0,0,0,True,False,True,True,True,False,True,True
2,1,0,empty,empty,True,True,empty,empty,True,True,empty,empty
2,1,0,1,0,False,False,False,False,False,False,False,False
1,1,0,0,0,True,True,True,True,True,True,True,True
1,0,0,0,0,True,True,True,True,True,True,True,True
1,1,1,empty,empty,True,True,empty,empty,True,True,empty,empty
1,1,1,1,0,True,True,True,True,True,True,True,True
1,0,0,0,empty,True,True,True,empty,True,True,True,empty
1,0,0,0,0,True,True,True,True,True,True,True,True
1,0,0,0,0,False,True,True,True,False,True,True,True
1,0,0,empty,empty,True,True,empty,empty,True,True,empty,empty
2,0,0,0,0,True,True,True,True,True,True,True,True
2,1,1,1,1,True,True,True,True,True,True,True,True
1,0,0,0,0,True,True,True,True,True,True,True,True
2,1,1,1,1,True,True,True,True,True,True,True,True
2,0,0,0,0,True,True,True,True,True,True,True,True
1,1,1,1,1,True,True,True,True,True,True,True,True
1,1,1,empty,empty,True,True,empty,empty,False,True,empty,empty
1,1,0,1,1,True,True,True,True,True,True,True,True
2,1,1,1,1,True,True,True,True,False,False,False,False
2,1,empty,empty,empty,False,empty,empty,empty,False,empty,empty,empty
2,0,1,0,0,False,False,False,False,False,False,False,False
2,0,0,empty,empty,True,True,empty,empty,True,True,empty,empty
1,0,0,0,0,True,True,True,True,True,True,True,True
1,1,0,1,1,True,True,False,True,False,True,False,True
1,0,0,empty,empty,True,True,empty,empty,True,True,empty,empty
1,1,1,empty,empty,False,True,empty,empty,False,True,empty,empty
2,0,0,0,0,True,True,True,True,True,True,True,True
1,0,0,0,0,True,True,True,True,True,True,False,True
1,1,0,1,1,False,True,False,False,False,True,False,False
1,0,0,0,0,True,True,True,True,True,True,True,True
2,1,empty,1,1,True,empty,True,False,False,empty,False,False
1,0,0,empty,empty,True,True,empty,empty,True,True,empty,empty
1,1,0,0,0,True,True,True,True,True,True,True,True
2,1,1,1,1,False,False,False,False,False,False,False,False
2,1,1,empty,empty,False,False,empty,empty,False,False,empty,empty
1,1,0,empty,empty,True,True,empty,empty,True,True,empty,empty
2,empty,1,1,empty,empty,True,False,empty,empty,True,False,empty
2,1,0,empty,empty,False,False,empty,empty,False,False,empty,empty
2,0,0,0,0,True,True,True,True,True,True,True,True
2,1,0,1,0,False,False,False,False,False,False,False,False
1,0,0,1,1,True,True,True,True,True,True,True,True
2,1,1,0,0,True,True,True,True,True,True,True,True
1,1,1,1,1,False,False,False,False,False,False,False,False
1,0,0,0,0,True,True,True,True,True,True,False,True
1,1,0,empty,empty,True,False,empty,empty,False,False,empty,empty
1,0,0,0,0,True,True,True,True,True,True,True,True
2,0,0,0,0,True,True,True,True,False,True,True,True
2,0,0,0,0,True,True,True,True,True,True,True,True
2,1,1,1,1,False,False,False,False,False,False,False,False
2,0,0,0,0,True,True,True,True,True,True,True,True
1,1,0,1,1,True,True,True,True,True,True,True,True
2,1,0,1,0,False,True,False,True,False,True,False,True
1,0,0,empty,empty,True,True,empty,empty,True,True,empty,empty
1,1,1,1,empty,True,True,True,empty,True,True,True,empty
1,0,0,empty,empty,False,True,empty,empty,False,True,empty,empty
1,1,0,1,0,True,True,True,True,True,True,True,True
1,1,1,1,1,False,False,False,False,False,False,False,False
2,1,1,1,0,False,False,False,False,False,False,False,False
1,1,1,0,0,True,True,True,True,True,True,True,True
2,0,0,0,0,False,True,True,True,False,True,True,True
2,1,0,empty,empty,True,True,empty,empty,True,True,empty,empty
2,1,0,0,empty,False,False,False,empty,False,False,False,empty
